typL,liczbaL,typS,liczbS,typP,liczbaP
artylerzysci,19,artylerzysci,413,artylerzysci,1
konnica,381,artylerzysci,6,konnica,29
piechurzy,263,piechurzy,106,artylerzysci,91
konnica,128,artylerzysci,211,artylerzysci,8
konnica,309,konnica,50,artylerzysci,27
artylerzysci,73,piechurzy,302,konnica,228
artylerzysci,85,konnica,99,artylerzysci,94
konnica,417,piechurzy,67,konnica,6
piechurzy,383,konnica,276,konnica,31
konnica,4,piechurzy,361,artylerzysci,224
konnica,226,piechurzy,169,artylerzysci,107
konnica,57,piechurzy,116,piechurzy,369
artylerzysci,301,artylerzysci,263,piechurzy,69
piechurzy,77,piechurzy,398,piechurzy,199
piechurzy,253,konnica,230,artylerzysci,25
konnica,102,artylerzysci,74,artylerzysci,316
artylerzysci,135,artylerzysci,210,piechurzy,180
piechurzy,227,artylerzysci,145,konnica,100
piechurzy,238,piechurzy,111,konnica,298
konnica,393,konnica,21,konnica,39
konnica,229,konnica,98,piechurzy,155
artylerzysci,292,konnica,121,konnica,98
piechurzy,277,piechurzy,261,piechurzy,184
piechurzy,207,artylerzysci,131,piechurzy,186
piechurzy,406,konnica,290,artylerzysci,7
konnica,319,piechurzy,137,piechurzy,33
piechurzy,480,artylerzysci,87,piechurzy,156
konnica,380,konnica,1,artylerzysci,84
artylerzysci,91,konnica,13,artylerzysci,58
artylerzysci,6,piechurzy,98,konnica,368
konnica,44,piechurzy,276,konnica,253
artylerzysci,110,piechurzy,254,konnica,92
piechurzy,452,konnica,13,piechurzy,127
artylerzysci,471,konnica,23,artylerzysci,8
artylerzysci,95,piechurzy,349,konnica,47
konnica,471,artylerzysci,21,konnica,5
piechurzy,193,konnica,252,konnica,17
piechurzy,393,konnica,292,piechurzy,12
artylerzysci,471,konnica,5,konnica,43
konnica,150,konnica,171,konnica,54
artylerzysci,285,piechurzy,12,konnica,221
konnica,475,piechurzy,15,konnica,4
artylerzysci,276,artylerzysci,135,konnica,136
konnica,216,artylerzysci,73,konnica,8
piechurzy,121,artylerzysci,53,artylerzysci,55
artylerzysci,43,konnica,236,konnica,216
artylerzysci,329,artylerzysci,8,piechurzy,120
konnica,401,piechurzy,57,piechurzy,6
konnica,422,artylerzysci,27,konnica,4
artylerzysci,120,artylerzysci,248,konnica,174
konnica,296,artylerzysci,5,piechurzy,101
piechurzy,144,konnica,213,konnica,131
piechurzy,62,konnica,250,piechurzy,127
artylerzysci,134,piechurzy,83,artylerzysci,33
konnica,102,konnica,20,piechurzy,357
piechurzy,278,piechurzy,317,konnica,20
konnica,389,artylerzysci,104,artylerzysci,28
piechurzy,211,konnica,237,konnica,150
konnica,391,konnica,62,artylerzysci,24
piechurzy,286,piechurzy,323,piechurzy,133
piechurzy,471,konnica,52,piechurzy,126
piechurzy,427,piechurzy,73,artylerzysci,67
piechurzy,44,piechurzy,288,piechurzy,86
artylerzysci,276,piechurzy,83,artylerzysci,218
artylerzysci,477,artylerzysci,29,artylerzysci,13
konnica,423,konnica,53,konnica,25
artylerzysci,299,artylerzysci,266,artylerzysci,59
piechurzy,410,konnica,142,artylerzysci,55
piechurzy,185,artylerzysci,287,piechurzy,33
konnica,145,piechurzy,119,piechurzy,164
artylerzysci,319,konnica,219,konnica,35
piechurzy,152,konnica,211,artylerzysci,154
artylerzysci,487,konnica,101,artylerzysci,15
piechurzy,312,piechurzy,97,artylerzysci,290
artylerzysci,30,konnica,82,artylerzysci,367
piechurzy,305,piechurzy,163,piechurzy,267
artylerzysci,127,konnica,105,konnica,253
konnica,428,konnica,74,piechurzy,1
artylerzysci,142,konnica,285,artylerzysci,60
artylerzysci,151,konnica,73,konnica,63
piechurzy,67,piechurzy,210,artylerzysci,201
konnica,257,artylerzysci,15,piechurzy,25
artylerzysci,200,konnica,23,konnica,30
konnica,127,artylerzysci,83,piechurzy,122
piechurzy,20,konnica,46,artylerzysci,156
konnica,411,piechurzy,38,artylerzysci,49
konnica,295,konnica,11,konnica,119
artylerzysci,278,konnica,131,artylerzysci,21
artylerzysci,12,konnica,1,piechurzy,67
artylerzysci,231,artylerzysci,60,artylerzysci,116
konnica,327,piechurzy,55,artylerzysci,117
artylerzysci,201,konnica,36,artylerzysci,286
konnica,378,konnica,23,artylerzysci,77
konnica,287,konnica,80,konnica,12
artylerzysci,414,konnica,184,konnica,4
piechurzy,478,artylerzysci,154,piechurzy,95
piechurzy,494,piechurzy,205,konnica,99
artylerzysci,231,piechurzy,184,piechurzy,230
konnica,101,piechurzy,124,artylerzysci,93
piechurzy,408,piechurzy,138,piechurzy,145
artylerzysci,475,artylerzysci,96,konnica,42
konnica,480,konnica,15,artylerzysci,1
konnica,62,artylerzysci,52,konnica,52
artylerzysci,325,artylerzysci,133,artylerzysci,46
piechurzy,289,artylerzysci,55,piechurzy,281
piechurzy,311,piechurzy,120,piechurzy,258
piechurzy,100,konnica,398,artylerzysci,13
piechurzy,240,piechurzy,185,artylerzysci,278
artylerzysci,191,piechurzy,96,artylerzysci,128
piechurzy,256,artylerzysci,252,piechurzy,22
piechurzy,423,konnica,145,konnica,74
piechurzy,384,artylerzysci,78,piechurzy,18
konnica,170,artylerzysci,10,konnica,114
konnica,309,artylerzysci,32,konnica,113
konnica,476,artylerzysci,7,artylerzysci,14
artylerzysci,497,artylerzysci,129,piechurzy,5
piechurzy,257,piechurzy,325,piechurzy,178
artylerzysci,491,konnica,86,artylerzysci,4
